"sep=	"
S29_Timestamp_CAL	S29_RealTime_CAL	S29_GSR_CAL	S29_Quat_MPL_6DOF_W_CAL	S29_Quat_MPL_6DOF_X_CAL	S29_Quat_MPL_6DOF_Y_CAL	S29_Quat_MPL_6DOF_Z_CAL	S29_Gyro_MPU_MPL_X_CAL	S29_Gyro_MPU_MPL_Y_CAL	S29_Gyro_MPU_MPL_Z_CAL	S29_Accel_MPU_MPL_X_CAL	S29_Accel_MPU_MPL_Y_CAL	S29_Accel_MPU_MPL_Z_CAL	S29_Mag_MPU_MPL_X_CAL	S29_Mag_MPU_MPL_Y_CAL	S29_Mag_MPU_MPL_Z_CAL	S29_Date	
msecs	msecs	kOhms	no units	no units	no units	no units	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	uTesla	uTesla	uTesla	dd_MMM_yyyy_HH:MM:SS.FFF	
493753649.505615	1487863331218.02	-40.0136046255727	0.645355641841888	-0.00948550831526518	0.713524639606476	0.272596329450607	-0.27587890625	0.0927581787109375	-0.146499633789063	-0.93585205078125	0.320693969726562	0.02008056640625	26.2886047363281	-33.7111358642578	-10.0160675048828	23rd_Feb_2017_10:22:11.218
493753716.156006	1487863331284.67	-40.0136046255727	0.645987331867218	-0.0107078375294805	0.713080883026123	0.272215843200684	-0.76416015625	0.458969116210938	-0.573745727539063	-0.94281005859375	0.311660766601562	0.02508544921875	26.5885925292969	-34.3111114501953	-8.21614074707031	23rd_Feb_2017_10:22:11.284
493753782.806397	1487863331351.32	-40.0136046255727	0.647636711597443	-0.0120173804461956	0.711725056171417	0.271790117025375	-1.74072265625	-0.151382446289063	0.0366058349609375	-0.92730712890625	0.308609008789062	0.02606201171875	25.0886535644531	-36.1110382080078	-5.21626281738281	23rd_Feb_2017_10:22:11.351
493753849.456787	1487863331417.97	-40.0136046255727	0.648163914680481	-0.0131406784057617	0.711456775665283	0.27118256688118	0.2734375	-0.395523071289062	0.585922241210938	-0.94305419921875	0.311904907226562	0.02117919921875	25.3886413574219	-33.7111358642578	-8.51612854003906	23rd_Feb_2017_10:22:11.417
493753916.107178	1487863331484.62	-40.0136046255727	0.649131059646606	-0.0139963869005442	0.710799515247345	0.270549565553665	-0.88623046875	-0.395523071289062	-1.85548400878906	-0.96405029296875	0.314224243164062	0.01934814453125	24.4886779785156	-36.1110382080078	-6.71620178222656	23rd_Feb_2017_10:22:11.484
493753982.757568	1487863331551.27	-40.0136046255727	0.651090145111084	-0.0152576556429267	0.709279119968414	0.269762456417084	-0.52001953125	-1.31105041503906	-1.42823791503906	-0.92364501953125	0.310317993164062	0.03070068359375	25.0886535644531	-34.9110870361328	-8.81611633300781	23rd_Feb_2017_10:22:11.551
493754049.407959	1487863331617.92	-40.0136046255727	0.652070581912994	-0.0161820314824581	0.70865797996521	0.268971979618072	-0.03173828125	0.153793334960938	0.0976409912109375	-0.94439697265625	0.307266235351562	0.01617431640625	26.8885803222656	-35.2110748291016	-7.01618957519531	23rd_Feb_2017_10:22:11.617
493754116.05835	1487863331684.57	-40.0136046255727	0.653197765350342	-0.0155022777616978	0.708050310611725	0.267875134944916	0.6396484375	0.336898803710937	0.830062866210938	-0.93426513671875	0.313125610351562	0.02423095703125	27.4885559082031	-35.2110748291016	-8.51612854003906	23rd_Feb_2017_10:22:11.684
493754182.70874	1487863331751.22	-40.0136046255727	0.653871893882751	-0.0159473270177841	0.707582414150238	0.267440229654312	-0.76416015625	-1.12794494628906	0.0976409912109375	-0.92999267578125	0.307632446289062	0.01312255859375	26.2886047363281	-35.8110504150391	-6.41621398925781	23rd_Feb_2017_10:22:11.751
493754249.359131	1487863331817.87	-40.0136046255727	0.654430568218231	-0.0165832452476025	0.707130014896393	0.267231434583664	-1.3134765625	-0.395523071289062	0.0366058349609375	-0.93414306640625	0.319229125976562	0.02655029296875	27.4885559082031	-35.2110748291016	-7.91615295410156	23rd_Feb_2017_10:22:11.817
493754316.009522	1487863331884.52	-40.0136046255727	0.65484344959259	-0.0180165991187096	0.706570506095886	0.267607420682907	-1.3134765625	-0.151382446289063	0.0366058349609375	-0.93670654296875	0.307632446289062	0.02239990234375	26.5885925292969	-34.9110870361328	-8.21614074707031	23rd_Feb_2017_10:22:11.884
493754382.659912	1487863331951.17	-40.0136046255727	0.655502796173096	-0.0187789648771286	0.705942928791046	0.267597109079361	-1.19140625	-0.273452758789062	1.01316833496094	-0.93231201171875	0.311538696289062	0.02301025390625	26.2886047363281	-35.8110504150391	-7.91615295410156	23rd_Feb_2017_10:22:11.951
