0	-0.227	0.058	0.953	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966
0	-0.235	0.055	0.958	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967
0	-0.235	0.054	0.959	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966
0	-0.235	0.055	0.962	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965
0	-0.239	0.057	0.964	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965
0	-0.244	0.057	0.961	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964
0	-0.249	0.052	0.960	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963
0	-0.250	0.050	0.965	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964
0	-0.253	0.052	0.967	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964
0	-0.252	0.048	0.969	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964
0	-0.251	0.048	0.967	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964
0	-0.250	0.045	0.966	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964
0	-0.251	0.044	0.967	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964
0	-0.252	0.044	0.967	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963
0	-0.251	0.045	0.966	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963
0	-0.252	0.047	0.967	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962
0	-0.251	0.046	0.966	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962
0	-0.251	0.047	0.965	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963
0	-0.251	0.047	0.965	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962
0	-0.249	0.048	0.964	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961
0	-0.250	0.050	0.963	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961
0	-0.250	0.052	0.964	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961
0	-0.250	0.054	0.964	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961	-0.253	0.074	0.961
0	-0.250	0.055	0.964	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961	-0.253	0.074	0.961	-0.254	0.075	0.960
0	-0.250	0.056	0.964	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961	-0.253	0.074	0.961	-0.254	0.075	0.960	-0.255	0.077	0.960
0	-0.250	0.058	0.964	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961	-0.253	0.074	0.961	-0.254	0.075	0.960	-0.255	0.077	0.960	-0.256	0.079	0.960
0	-0.250	0.059	0.964	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961	-0.253	0.074	0.961	-0.254	0.075	0.960	-0.255	0.077	0.960	-0.256	0.079	0.960	-0.255	0.080	0.959
0	-0.250	0.061	0.963	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961	-0.253	0.074	0.961	-0.254	0.075	0.960	-0.255	0.077	0.960	-0.256	0.079	0.960	-0.255	0.080	0.959	-0.256	0.081	0.960
0	-0.251	0.061	0.963	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961	-0.253	0.074	0.961	-0.254	0.075	0.960	-0.255	0.077	0.960	-0.256	0.079	0.960	-0.255	0.080	0.959	-0.256	0.081	0.960	-0.256	0.082	0.959
0	-0.252	0.063	0.962	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961	-0.253	0.074	0.961	-0.254	0.075	0.960	-0.255	0.077	0.960	-0.256	0.079	0.960	-0.255	0.080	0.959	-0.256	0.081	0.960	-0.256	0.082	0.959	-0.256	0.083	0.959
0	-0.252	0.064	0.962	-0.252	0.066	0.963	-0.254	0.068	0.962	-0.254	0.071	0.961	-0.254	0.072	0.961	-0.253	0.073	0.961	-0.253	0.074	0.961	-0.254	0.075	0.960	-0.255	0.077	0.960	-0.256	0.079	0.960	-0.255	0.080	0.959	-0.256	0.081	0.960	-0.256	0.082	0.959	-0.256	0.083	0.959	-0.256	0.085	0.959
