Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
30,semiregular,1,649,117,203,0.847258486,0.761737089,0.9481,0.802224969
30,regular,2,840,0,310,1,0.730434783,0.8465,0.844221106
30,irregular,2,125,900,902,0.12195122,0.121713729,4.108,0.121832359
30,semiregular,2,696,102,121,0.872180451,0.851897185,0.9914,0.861919505
30,regular,3,938,2,115,0.99787234,0.890788224,0.9438,0.941294531
30,irregular,3,196,144,143,0.576470588,0.578171091,1.364,0.577319588
30,semiregular,3,750,76,76,0.907990315,0.907990315,1.021,0.907990315
,,,,,,,Average Type,RCA,SDA
,,,,,,,Overall,1.452,0.671
,,,,,,,Regular Gait,0.895,0.872
,,,,,,,Irregular Gait,2.450,0.334
,,,,,,,SemiRegular Gait,1.012,0.807
,,,,,,,Wrist Sensor,1.438,0.588
,,,,,,,Hip Sensor,1.844,0.620
,,,,,,,Ankle Sensor,1.075,0.805
