Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
17,semiregular,3,781,79,81,0.908139535,0.906032483,1.0299,0.907084785
18,regular,1,941,2,200,0.997879109,0.824715162,0.9071,0.903071017
18,irregular,1,185,629,633,0.227272727,0.226161369,3.246,0.226715686
18,semiregular,1,734,155,159,0.825646794,0.821948488,1.1149,0.82379349
18,regular,2,1010,48,53,0.95463138,0.95014111,1.0182,0.952380952
18,irregular,2,218,798,801,0.214566929,0.213935231,4.0437,0.214250614
18,semiregular,2,744,192,198,0.794871795,0.789808917,1.176,0.792332268
18,regular,3,1042,67,68,0.939585212,0.938738739,1.0632,0.939161785
18,irregular,3,233,156,157,0.598971722,0.597435897,1.5476,0.598202824
18,semiregular,3,761,92,94,0.892145369,0.89005848,1.0674,0.891100703
19,regular,1,849,23,426,0.973623853,0.665882353,0.8151,0.790870983
19,irregular,1,113,368,371,0.234927235,0.233471074,1.9755,0.234196891
19,semiregular,1,659,157,159,0.807598039,0.805623472,1.0863,0.806609547
19,regular,2,1038,11,60,0.989513823,0.945355191,0.9796,0.966930601
19,irregular,2,168,466,471,0.264984227,0.262910798,2.6082,0.263943441
19,semiregular,2,622,83,176,0.882269504,0.779448622,0.9402,0.827677977
19,regular,3,1042,11,55,0.989553656,0.949863263,0.9805,0.969302326
19,irregular,3,199,87,90,0.695804196,0.688581315,1.1796,0.692173913
19,semiregular,3,657,49,142,0.930594901,0.822277847,0.9389,0.873089701
20,regular,1,1225,137,144,0.899412628,0.894813733,1.0943,0.897107287
20,irregular,1,118,403,405,0.226487524,0.225621415,2.0754,0.22605364
20,semiregular,1,739,247,249,0.749492901,0.747975709,1.1748,0.748733536
20,regular,2,1244,126,132,0.908029197,0.904069767,1.0999,0.906045157
20,irregular,2,176,596,602,0.227979275,0.22622108,3.0873,0.227096774
20,semiregular,2,760,261,266,0.744368266,0.740740741,1.22,0.742550073
20,regular,3,1221,30,31,0.976019185,0.975239617,1.0008,0.975629245
20,irregular,3,207,186,187,0.526717557,0.525380711,1.5635,0.526048285
20,semiregular,3,742,95,101,0.886499403,0.880189798,0.9976,0.883333333
21,regular,1,880,10,65,0.988764045,0.931216931,0.9728,0.959128065
21,irregular,1,108,442,443,0.196363636,0.19600726,2.701,0.196185286
21,semiregular,1,526,300,304,0.636803874,0.63373494,1.5118,0.6352657
21,regular,2,916,21,25,0.977588047,0.973432519,1.0228,0.975505857
21,irregular,2,147,547,549,0.211815562,0.211206897,3.4118,0.211510791
21,semiregular,2,528,212,215,0.713513514,0.710632571,1.3534,0.712070128
21,regular,3,898,46,51,0.951271186,0.94625922,1.0315,0.948758584
21,irregular,3,186,209,210,0.470886076,0.46969697,1.9412,0.470290771
21,semiregular,3,459,164,170,0.736757624,0.72972973,1.1457,0.733226837
22,regular,1,858,50,120,0.944933921,0.877300613,0.9662,0.909862142
22,irregular,1,116,394,395,0.22745098,0.227005871,2.0688,0.227228208
22,semiregular,1,604,205,208,0.746600742,0.743842365,1.155,0.745219001
22,regular,2,946,74,79,0.92745098,0.922926829,1.0835,0.925183374
22,irregular,2,147,574,577,0.203883495,0.203038674,2.9312,0.203460208
22,semiregular,2,657,201,204,0.765734266,0.763066202,1.2248,0.764397906
22,regular,3,823,15,226,0.982100239,0.784556721,0.8911,0.872284049
22,irregular,3,202,210,211,0.490291262,0.489104116,1.6721,0.48969697
22,semiregular,3,642,82,84,0.886740331,0.884297521,1.0327,0.885517241
